community_names,pce_id,PCE community name,plant__name,plant__utility__name
Selawik,331610,Selawik,Selawik,Alaska Village Electric Cooperative
Shageluk,331620,Shageluk,Shageluk,Alaska Village Electric Cooperative
Shaktoolik,331630,Shaktoolik,Shaktoolik,Alaska Village Electric Cooperative
Shishmaref,331640,Shishmaref,Shishmaref,Alaska Village Electric Cooperative
Shungnak,331650,Shungnak,Shungnak,Alaska Village Electric Cooperative
Skagway,331190,Skagway,Skagway,Alaska Power & Telephone Company
Slana,331195,Slana,Slana,Alaska Power & Telephone Company
Sleetmute,332260,Sleetmute,Sleetmute,Middle Kuskokwim Electric
Stebbins,331680,Stebbins,Stebbins,Alaska Village Electric Cooperative
Stevens Village,332570,Stevens Village,Stevens Village,Stevens Village Ira Council
Stony River,332270,Stony River,Stony River,Middle Kuskokwim Electric
Takotna,332580,Takotna,Takotna,Takotna Community Assoc Inc
Tanana,332600,Tanana,Tanana,Tanana Power Company Inc
Tatitlek,332610,Tatitlek,Tatitlek,Tatitlek Village Ira Council
Teller,332620,Teller,Teller,Alaska Village Electric Cooperative
Teller,331685,Teller,Teller,Alaska Village Electric Cooperative
Tenakee Springs,332630,Tenakee Springs,Tenakee Springs,"Tenakee Springs, City of"
Tetlin,331200,Tetlin,Tok,Alaska Power & Telephone Company
Thorne Bay,331210,"Thorne Bay, Kasaan",Thorne Bay Plant,Alaska Power & Telephone Company
Kasaan,331210,"Thorne Bay, Kasaan",Thorne Bay Plant,Alaska Power & Telephone Company
Togiak,331690,Togiak,Togiak,Alaska Village Electric Cooperative
Toksook Bay,331700,Toksook Bay,Toksook Bay,Alaska Village Electric Cooperative
Tok,331220,"Tok, Tanacross",Tok,Alaska Power & Telephone Company
Tanacross,331220,"Tok, Tanacross",Tok,Alaska Power & Telephone Company
Tuluksak,332710,Tuluksak,Tuluksak,Tuluksak Traditional
Tuntutuliak,332720,Tuntutuliak,Tuntutuliak,Tuntutuliak Community
Tununak,331710,Tununak,Tununak,Alaska Village Electric Cooperative
Twin Hills,332730,Twin Hills,Twin Hills,Twin Hills Village Council
Unalakleet,332850,Unalakleet,Unalakleet,Unalakleet Valley Electric Cooperative
Unalaska,332860,Unalaska,Unalaska Power Module,"Unalaska, City of"
Venetie,332880,Venetie,Venetie,Venetie Village Electric
Wainwright,332410,Wainwright,Wainwright,North Slope Borough Power & Light
Wales,331730,Wales,Wales,Alaska Village Electric Cooperative
Whale Pass,331230,Whale Pass,Whale Pass,Alaska Power & Telephone Company
White Mountain,332890,White Mountain,White Mountain,"White Mountain, City of"
Yakutat,332900,Yakutat,Yakutat,Alaska Village Electric Cooperative
