community__name,community__gnis_feature_id,community__census_code,community__census_area__name,community__census_area__gnis_feature_id,community__census_area__census_code,community__census_area__county_code,community__census_area__historical,community__census_area__notes,community__alaska_native_regional_corporation__name,community__latitude,community__longitude,community__aea_energy_region__name,community__dcra_community_id,year,total_population
Alatna,1865542,1305,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.","Doyon, Limited",66.5572222,-152.7072222,Yukon-Koyukuk/Upper Tanana,cce9a1d7-6fd1-48d9-afa4-4922ec7861bb,2003,38
Nikolski,1418954,54260,Aleutians West Census Area,1419965,99016,16,0,"Created from the remainder of the former Aleutian Islands Census Area (02-010) when the new Aleutians East Borough (02-013) was created effective October 23, 1987; 1980 population: 6,125.",Aleut Corporation,52.9380556,-168.8677778,Aleutians,06afc3d9-b26d-407e-8c0a-791dee3d79eb,2003,35
Kachemak,1413247,36540,Kenai Peninsula Borough,1419972,99122,122,0,,,59.6700000,-151.4341667,Railbelt,b5a177f1-ee19-44fb-a053-94fd9ae96d0b,2003,480
Tetlin,1410765,76590,Southeast Fairbanks Census Area,1419983,99240,240,0,"Unpopulated part taken to create the new Denali Borough (02-068) effective December 7, 1990.",,63.1350512,-142.5238796,Yukon-Koyukuk/Upper Tanana,59ba8184-9c32-4637-91cb-5069c313f8d2,2003,134
Circle,1400404,14880,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.","Doyon, Limited",65.8255556,-144.0605556,Yukon-Koyukuk/Upper Tanana,ce10b1fc-4474-48f2-b1d2-618935e53777,2003,98
Yakutat,1415858,86490,Yakutat City and Borough,1419986,99282,282,0,"Created from part of the former Skagway-Yakutat-Angoon Census Area (02-231) effective September 22, 1992. The remainder of the former Skagway-Yakutat-Angoon Census Area was established as the new Skagway-Hoonah-Angoon Census Area (02-232) effective September 22, 1992; 1990 population: 725.",Sealaska Corporation,59.5469444,-139.7272222,Southeast,10c921c7-f6e4-45de-aedd-95e84fce89aa,2003,674
Eek,1401666,21040,Bethel Census Area,1419966,99050,50,0,,Calista Corporation,60.2188889,-162.0244444,Lower Yukon-Kuskokwim,9418cfec-15c9-46b2-81f6-838e8a029049,2003,290
Port Clarence,1408213,63170,Nome Census Area,1419977,99180,180,0,,,65.2622222,-166.8458333,,f9ffc8fd-bc38-4c58-94d9-cb675b633c39,2003,26
Thorne Bay,1669435,77140,Prince of Wales-Hyder Census Area,1419980,99198,198,0,"Created from the remainder of the former Prince of Wales-Outer Ketchikan Census Area (02-201) after part (Outer Ketchikan area) was annexed by Ketchikan Gateway Borough (02-130) effective May 19, 2008, and part (Meyers Chuck area) included in the new Wrangell City and Borough effective June 1, 2008; estimated population: 6,115. Prince of Wales-Hyder Census Area (02-198) added part of the former Petersburg Census Area (02-195) effective January 3, 2013; estimated added population 613.",,55.6877778,-132.5222222,Southeast,4e6cc7c9-137e-4b57-b549-c367df971985,2003,481
Clark's Point,1400426,15430,Dillingham Census Area,1419968,99070,70,0,"Part taken to create the new Lake and Peninsula Borough (02-164) effective April 24, 1989; 1980 detached population: 1,384.",Bristol Bay Native Corporation,58.8441667,-158.5508333,Bristol Bay,73e463dc-1b49-4674-a305-e2e72bd487c2,2003,66
Wrangell,1415843,86380,Wrangell City and Borough,2516402,99275,275,0,"Created from part of the former Wrangell-Petersburg Census Area (02-280) and part of Prince of Wales-Outer Ketchikan Census Area (02-201) (Meyers Chuck area) effective June 1, 2008; estimated population: 2,448. The remainder of the former Wrangell-Petersburg Census Area was established as the new Petersburg Census Area (02-195) effective June 1, 2008.",,56.4708333,-132.3766667,Southeast,7dc49d03-4394-46d6-a4f2-850b79e3f2b8,2003,2349
Togiak,1411039,77690,Dillingham Census Area,1419968,99070,70,0,"Part taken to create the new Lake and Peninsula Borough (02-164) effective April 24, 1989; 1980 detached population: 1,384.",Bristol Bay Native Corporation,59.0619444,-160.3763889,Bristol Bay,f8243f99-b938-4f9f-9db4-faa11f8ac1f6,2003,815
Kipnuk,1404781,39740,Bethel Census Area,1419966,99050,50,0,,Calista Corporation,59.9388889,-164.0413889,Lower Yukon-Kuskokwim,e4e22ec7-cd34-4dd7-9cd2-030e473400e4,2004,647
Slana,1409698,70930,Valdez-Cordova Census Area,1419984,99261,261,0,,,62.7069444,-143.9611111,Copper River/Chugach,df27d3fe-4ede-4869-935b-939ffe8610dc,2004,131
Cordova,1421215,17410,Valdez-Cordova Census Area,1419984,99261,261,0,,Chugach Alaska Corporation,60.5427778,-145.7575000,Copper River/Chugach,19933dbf-2637-4b88-ba6a-9021796c9354,2004,2427
Kwethluk,1405119,42380,Bethel Census Area,1419966,99050,50,0,,Calista Corporation,60.8122222,-161.4358333,Lower Yukon-Kuskokwim,697b5816-c44a-4e0a-8653-5f5ded02c156,2004,683
Chevak,1400219,13230,Kusilvak Census Area,1419985,99270,158,0,"Formerly known as the Wade Hampton Census Area, FIPS code 270",Calista Corporation,61.5277778,-165.5863889,Lower Yukon-Kuskokwim,8e7880f3-b3ce-491f-b78a-d2aa82e10443,2004,896
Seward,1414598,68560,Kenai Peninsula Borough,1419972,99122,122,0,,Chugach Alaska Corporation,60.1041667,-149.4422222,Railbelt,326d957a-dc0c-4e28-9406-fc2c89a68cef,2004,2577
Napaskiak,1406834,52720,Bethel Census Area,1419966,99050,50,0,,Calista Corporation,60.7080556,-161.7661111,Lower Yukon-Kuskokwim,7479359b-3bd3-4858-9b68-c2d008906575,2004,431
Butte,1416898,9710,Matanuska-Susitna Borough,1419976,99170,170,0,,,61.5422222,-149.0333333,Railbelt,6b548bb4-6717-4f40-91f8-5d3160871555,2004,2951
Tyonek,1414206,79890,Kenai Peninsula Borough,1419972,99122,122,0,,"Koniag, Incorporated",61.0680556,-151.1369444,Railbelt,1e0c07a4-3963-4c6a-9789-df49bb6add59,2004,188
Livengood,1405579,44580,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.",,65.5244444,-148.5447222,,39be1361-9069-408f-8ed2-1eae1a70c1c4,2004,20
Bettles,1926949,6630,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.",,66.9188889,-151.5161111,Yukon-Koyukuk/Upper Tanana,be1892b0-4ae0-4577-b84d-9591b56c47ee,2004,25
Gambell,1402463,27640,Nome Census Area,1419977,99180,180,0,,,63.7797222,-171.7411111,Bering Straits,2c81665b-90d4-4726-9530-2e2ae081de3f,2004,657
Willow,1417146,85280,Matanuska-Susitna Borough,1419976,99170,170,0,,,61.7472222,-150.0375000,Railbelt,53377138-3298-47f6-bf68-8bb04d22b61f,2004,1824
