Community Name,Latitude,Longitude
Sleetmute,61.7027,-157.1704
Soldotna,60.4918,-151.0691
Solomon,64.5606,-164.4416
South Lakes,61.5787,-149.3075
South Naknek,58.7133,-157.0069
South Van Horn,64.8111,-147.7592
Squaw Harbor,55.2414,-160.5512
Stebbins,63.5194,-162.2877
Steele Creek,64.8923,-147.4881
Sterling,60.537,-150.797
Stevens Village,66.0045,-149.0845
Stony River,61.7872,-156.5883
Sunrise,60.884,-149.4261
Suntrana,63.8538,-148.8481
Susitna,61.4984,-150.6339
Susitna North,62.1312,-150.0436
Sutton-Alpine,61.7159,-148.8784
Takotna,62.988,-156.062
Talkeetna,62.3176,-150.1081
Tanacross,63.3763,-143.356
Tanaina,61.6103,-149.3848
Tanana,65.1712,-152.0879
Tatitlek,60.8685,-146.6817
Tazlina,62.0474,-145.4121
Telida,63.3839,-153.2794
Teller,65.2637,-166.367
Tenakee Springs,57.7808,-135.2228
Tetlin,63.138,-142.5197
Thane,58.2606,-134.3247
Thom's Place,56.1783,-132.1347
Thorne Bay,55.6898,-132.5245
Togiak,59.0597,-160.3775
Tok,63.3367,-142.9856
Toksook Bay,60.5331,-165.109
Tolsona,62.0971,-146.1129
Tonsina,61.6613,-145.1797
Trapper Creek,62.3163,-150.2339
Tuluksak,61.0987,-160.9565
Tuntutuliak,60.3428,-162.6764
Tununak,60.5862,-165.2514
Twin Hills,59.0751,-160.2806
Two Rivers,64.8773,-147.0384
Tyonek,61.0681,-151.1434
Uganik,57.7311,-153.3194
Ugashik,57.5084,-157.3998
Umiat,69.3713,-152.1398
Umkumiute,60.498,-165.1943
Unalakleet,63.8769,-160.7948
Unalaska,53.8728,-166.5301
Unga,55.1828,-160.5064
Upper Kalskag,61.5371,-160.3123
Usibelli,63.8648,-148.7735
Utqiagvik,71.2891,-156.7685
Utqiagvik (see Barrow),0,0
Uyak,57.6368,-154.0016
Valdez,61.1343,-146.3554
Venetie,67.0167,-146.4218
Voznesenka Village,59.7943,-151.0964
Wainwright,70.6402,-160.0277
Wales,65.6052,-168.0862
Ward Cove,55.4104,-131.7221
Wasilla,61.5845,-149.4339
Whale Pass,56.1171,-133.1219
White Mountain,64.6815,-163.4119
Whitestone,64.1514,-145.8954
Whitestone Logging Camp,58.0891,-135.4422
Whittier,60.7744,-148.6883
Williamsport,59.683,-153.6308
Willow,61.7381,-150.0441
Willow Creek,61.8,-145.1851
Wiseman,67.41,-150.1075
Womens Bay,57.7055,-152.5823
Woody Island,57.775,-152.3399
Wrangell,56.4717,-132.3804
Yakutat,59.5465,-139.7228
